,shop_id,shop_name,company_id,company_name,location,county_name,country_name,depot_id,shop_created_date,industry,subcription_id,subscription_start_date,subscription_end_date,duration_months,status
,1805,Kamwimu enterprise,803,Kamwimu enterprise,POINT(38.0600046 -1.5130396),Kitui,Kenya,,01/12/2023,Agribusiness,805,01/12/2023,05/07/2024,7,expired
,1807,Jabo Agrochemicals,804,Mwimwo Enterprise,POINT(-1.3730198 38.009397),Kitui,Kenya,,01/12/2023,Agribusiness,812,01/12/2023,05/07/2024,7,expired
,1809,Kwamutisya Miwani Enterprise,805,Kwamutisya Miwani Enterprise,POINT(37.3628561 -1.5832306),Machakos,Kenya,,01/12/2023,Agribusiness,809,01/12/2023,05/07/2024,7,expired
,1817,MOGOIYWET FARMERS' AGROVET,809,CHAM,POINT(-0.6604367 35.3721483),Bomet,Kenya,,02/12/2023,Agribusiness,814,02/12/2023,03/03/2025,15,active
,1821,Mavent Tiles & Hardware,811,Mavent Tiles & Hardware,POINT(-1.2806888 37.1069569),Machakos,Kenya,,02/12/2023,"Hardware,Other",917,20/12/2023,20/01/2024,1,expired
,1832,Genesis Agrovet Kibingo,816,Genesis Agrovet Kibingo,POINT(37.27504464 -0.49746831),Kirinyaga,Kenya,,04/12/2023,Agribusiness,2346,02/01/2025,03/03/2025,2,active
,1834,KOLANDO FARM INPUT,817,KOLANDO FARM INPUT,POINT(0 0),Migori,Kenya,,04/12/2023,Agribusiness,817,04/12/2023,04/01/2024,1,expired
,1836,Horizon Agrovet,818,Horizon Agrovet,POINT(0 0),Machakos,Kenya,,04/12/2023,Agribusiness,818,04/12/2023,02/02/2025,13,expired
,1840,Kitusuru West Liqour,820,Kitusuru West Liqour,,Kiambu,Kenya,,04/12/2023,Liquor,821,04/12/2023,04/01/2024,1,expired
,1844,Highrise test,822,Highrise test,,,Kenya,,05/12/2023,,822,05/12/2023,07/03/2024,3,expired
,1847,Logos Chemist,823,Logos Chemist,POINT(-0.2752522 34.9625479),Kisumu,Kenya,,05/12/2023,HealthCare,1192,05/12/2023,05/01/2024,1,expired
,1849,Farmers Center Enterprises,824,Farmers Center Enterprises,POINT(0.6470267 35.4813733),Elgeyo Marakwet,Kenya,,05/12/2023,Agribusiness,824,05/12/2023,13/03/2025,15,active
